crop_iri;fert_iri;climate_type;fert_type;value_type;emission_factor
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;dry;default;value;0.005
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;dry;default;min;0
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;dry;default;max;0.011
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;default;default;value;0.01
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;default;default;min;0.001
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;default;default;max;0.018
http://data.europa.eu/xsp/cn2024/100600000080;http://data.europa.eu/xsp/cn2024/310200000080;flooded_rice;default;value;0.004
http://data.europa.eu/xsp/cn2024/100600000080;http://data.europa.eu/xsp/cn2024/310200000080;flooded_rice;default;min;0
http://data.europa.eu/xsp/cn2024/100600000080;http://data.europa.eu/xsp/cn2024/310200000080;flooded_rice;default;max;0.029
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;inorganic;value;0.016
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;inorganic;min;0.013
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;inorganic;max;0.019
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;organic;value;0.006
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;organic;min;0.001
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;organic;max;0.011
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;residual;value;0.006
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;residual;min;0.001
http://data.europa.eu/xsp/cn2024/060011000090;http://data.europa.eu/xsp/cn2024/310200000080;wet;residual;max;0.011
